x y u v p
2.98955 32.6611 1.52661e-05 1.55839e-07 9.09997e-05
7.33333 32.5 8.20765e-38 -5.13099e-36 9.23594e-05
7.16667 32.5 9.94417e-38 -5.11333e-36 9.20414e-05
7 32.5 1.17455e-37 -5.09691e-36 9.17462e-05
6.83333 32.5 1.35978e-37 -5.08161e-36 9.14709e-05
3.5 32.5 4.92203e-37 -5.02124e-36 9.03834e-05
6.66667 32.5 1.54833e-37 -5.06761e-36 9.12184e-05
9.5 32.5 -1.38891e-38 -5.38844e-36 9.69817e-05
6.5 32.5 1.74007e-37 -5.05486e-36 9.09889e-05
9.33333 32.5 -1.82939e-38 -5.37767e-36 9.67927e-05
6.33333 32.5 1.93346e-37 -5.04337e-36 9.07821e-05
9.16667 32.5 -2.15257e-38 -5.36231e-36 9.6515e-05
3.66667 32.5 4.78303e-37 -5.01487e-36 9.02686e-05
9 32.5 -2.20751e-38 -5.34401e-36 9.61871e-05
9.42565 32.6199 -2.71864e-07 -3.15638e-08 9.68581e-05
8.83333 32.5 -2.03193e-38 -5.32362e-36 9.58212e-05
0.199359 33.0367 5.70612e-05 -1.24188e-07 9.31755e-05
0 33.1128 6.51061e-05 -8.70933e-39 9.31718e-05
0.44952 33.0267 5.60709e-05 -1.42358e-07 9.31491e-05
0.63124 32.8723 3.97349e-05 -7.09074e-08 9.30704e-05
2.03732 32.8999 4.10582e-05 5.34034e-07 9.20729e-05
2.49062 33.0097 5.02876e-05 1.19319e-06 9.1768e-05
2.22029 33.0895 5.93339e-05 1.33986e-06 9.20527e-05
1.35405 32.9569 4.83177e-05 2.78111e-07 9.26768e-05
1.58935 32.9432 4.65143e-05 3.96555e-07 9.24842e-05
1.06503 33.0048 5.36378e-05 1.44286e-07 9.28905e-05
0.852398 32.8827 4.08485e-05 -1.10025e-08 9.29762e-05
1.81264 32.9545 4.71908e-05 5.54685e-07 9.23037e-05
2.75291 33.0044 4.84888e-05 1.34063e-06 9.15567e-05
2.96275 32.8931 3.70405e-05 9.01706e-07 9.12833e-05
5.00926 32.8864 2.42007e-05 1.41187e-06 9.06265e-05
4.79145 32.7818 1.87557e-05 7.39985e-07 9.04105e-05
5.22855 32.9192 2.45618e-05 1.69229e-06 9.07523e-05
5.44105 32.9616 2.52386e-05 2.07674e-06 9.09246e-05
5.63948 33.0267 2.69215e-05 2.71575e-06 9.11568e-05
5.81909 33.034 2.54797e-05 2.80836e-06 9.13004e-05
6.00174 33.0696 2.52822e-05 3.19375e-06 9.1516e-05
6.10103 32.8634 1.50729e-05 1.33111e-06 9.12472e-05
6.21304 32.6751 6.70173e-06 3.15913e-07 9.10042e-05
3.33932 32.6668 1.5057e-05 1.90629e-07 9.07315e-05
3.15126 32.7723 2.515e-05 4.70722e-07 9.10031e-05
9.70136 32.7145 -1.68725e-07 -1.1091e-07 9.70136e-05
9.86236 32.7933 -6.03659e-08 -1.21359e-07 9.70384e-05
9.541 32.7267 -3.1675e-07 -1.1742e-07 9.69453e-05
10.0063 32.8549 6.09268e-36 -2.27685e-37 9.69876e-05
4.4976 32.7627 1.88672e-05 6.16663e-07 9.03809e-05
4.59712 32.6579 1.10661e-05 2.29136e-07 9.01919e-05
4.31098 32.7741 2.05742e-05 6.49554e-07 9.04301e-05
4.15677 32.7812 2.18338e-05 6.63219e-07 9.04792e-05
3.97998 32.752 2.02987e-05 5.13989e-07 9.04928e-05
3.71361 32.6497 1.27173e-05 1.71926e-07 9.04667e-05
3.82099 32.7845 2.36075e-05 6.29052e-07 9.06092e-05
7.4309 32.6548 2.24767e-06 2.10076e-07 9.28227e-05
7.27836 32.6336 2.27601e-06 1.63503e-07 9.24947e-05
7.5 32.5 6.54453e-38 -5.14975e-36 9.26973e-05
7.10329 32.6508 3.08309e-06 2.16304e-07 9.22098e-05
6.90914 32.686 4.54449e-06 3.38084e-07 9.19519e-05
6.72828 32.6507 4.1755e-06 2.27664e-07 9.16085e-05
3.54048 32.6608 1.40662e-05 1.8876e-07 9.05859e-05
6.55029 32.6428 4.4598e-06 2.07853e-07 9.13437e-05
6.37952 32.6591 5.5334e-06 2.59853e-07 9.11613e-05
9.30428 32.7134 -4.46441e-07 -5.5851e-08 9.67107e-05
9.11013 32.6949 -4.56789e-07 2.65577e-10 9.6422e-05
8.92526 32.712 -3.92727e-07 6.14661e-08 9.60949e-05
8.75093 32.6424 -2.56791e-07 5.02566e-08 9.57093e-05
8.66667 32.5 -1.60654e-38 -5.3018e-36 9.54301e-05
0.258953 33.232 7.78085e-05 -1.88143e-07 9.32453e-05
8.5 32.5 -9.48161e-39 -5.27944e-36 9.503e-05
8.33333 32.5 -7.82728e-40 -5.25709e-36 9.46282e-05
8.16667 32.5 9.57117e-39 -5.23411e-36 9.42154e-05
7.66667 32.5 4.97431e-38 -5.1696e-36 9.30544e-05
3.13934 32.9405 4.05171e-05 1.20866e-06 9.12065e-05
8 32.5 2.16551e-38 -5.21192e-36 9.38154e-05
7.83333 32.5 3.5031e-38 -5.19034e-36 9.34272e-05
7.92452 32.665 1.11759e-06 1.93873e-07 9.38723e-05
0 33.3749 9.29559e-05 -1.3936e-38 9.33187e-05
0.525047 33.2921 8.41761e-05 -1.22077e-07 9.32241e-05
0.74455 33.0997 6.38e-05 -2.27771e-08 9.30811e-05
1.9648 33.1589 6.73497e-05 1.36922e-06 9.23039e-05
2.67125 33.2224 6.95574e-05 2.60804e-06 9.18194e-05
2.42803 33.2219 7.11274e-05 2.287e-06 9.19949e-05
2.15793 33.3441 8.46928e-05 2.62145e-06 9.22843e-05
1.29196 33.1358 6.70131e-05 5.12586e-07 9.279e-05
1.50756 33.1224 6.51592e-05 7.2002e-07 9.26341e-05
1.73066 33.1337 6.56737e-05 1.00125e-06 9.24708e-05
0.946918 33.2506 7.95193e-05 2.78132e-07 9.30412e-05
1.12778 33.2061 7.46128e-05 4.42863e-07 9.29254e-05
2.91262 33.1654 6.25044e-05 2.47662e-06 9.1601e-05
